condition,param_source,waveform_mismatch,xor_score_on_twin,xor_accuracy_twin,xor_separation_twin,xor_accuracy_specimen,xor_separation_specimen,transfer_success_75,transfer_success_100,success,error_message,duration_seconds,num_nodes,num_edges,network_density,specimen_idx,specimen_seed,tuned_score,true_tau_v,true_tau_w,true_a,true_b,true_v_scale,true_R_off,true_R_on,true_alpha,ml_abs_err_tau_v,ml_rel_err_tau_v,ml_abs_err_tau_w,ml_rel_err_tau_w,ml_abs_err_a,ml_rel_err_a,ml_abs_err_b,ml_rel_err_b,ml_abs_err_v_scale,ml_rel_err_v_scale,ml_abs_err_R_off,ml_rel_err_R_off,ml_abs_err_R_on,ml_rel_err_R_on,ml_abs_err_alpha,ml_rel_err_alpha,waveform_mismatch_before,opt_n_evals,opt_success,opt_final_mismatch,refined_abs_err_tau_v,refined_rel_err_tau_v,refined_abs_err_tau_w,refined_rel_err_tau_w,refined_abs_err_a,refined_rel_err_a,refined_abs_err_b,refined_rel_err_b,refined_abs_err_v_scale,refined_rel_err_v_scale,refined_abs_err_R_off,refined_rel_err_R_off,refined_abs_err_R_on,refined_rel_err_R_on,refined_abs_err_alpha,refined_rel_err_alpha
oracle,true,0.0,2.1722570051031553,1.0,2.454562203420371,1.0,2.454562203420371,True,True,True,,12.551713705062866,40,116,0.1487179487179487,0,85088,2.1722570051031553,40.0,1200.0,0.6,0.8286774914498589,2.741565830191603,102.72797545736852,30.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.5446901070716134,2.1722570051031553,0.5,-0.004366802619504284,1.0,2.454562203420371,True,True,True,,15.338165998458862,40,116,0.1487179487179487,0,85088,2.1722570051031553,40.0,1200.0,0.6,0.8286774914498589,2.741565830191603,102.72797545736852,30.0,0.015,0.2964136266703292,0.7410340666739704,147.92629136114783,12.327190946761291,0.025421722385701617,4.23695373024411,0.05609102472841865,6.768739986350146,2.5273769088444418,92.1873507803247,51.60095602874695,50.230675528216565,10.71731850178709,35.72439500583789,0.012712679917370627,84.75119888412952,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.01245768902508843,2.1722570051031553,0.75,1.292073608747262,1.0,2.454562203420371,True,True,True,,88508.43387794495,40,116,0.1487179487179487,0,85088,2.1722570051031553,40.0,1200.0,0.6,0.8286774914498589,2.741565830191603,102.72797545736852,30.0,0.015,0.2964136266703292,0.7410340666739704,147.92629136114783,12.327190946761291,0.025421722385701617,4.23695373024411,0.05609102472841854,6.768739986350132,2.5273769088444418,92.1873507803247,51.60095602874698,50.23067552821659,10.717318501787094,35.7243950058379,0.012712679917370627,84.75119888412952,0.5446901362416228,9013.0,True,0.01245768902508843,1.8502213010626818,4.62555325264514,4.488706809821679,0.37405890081844206,0.0035423063306148084,0.590384388337404,0.003908975271581516,0.4717124950830555,4.326637081640733,157.816275423178,5.236774892981487,5.097710598949376,8.721868592310503,29.072895307604767,0.008761644324743127,58.410961775547776
random,random,2.6735281729038367,2.1722570051031553,0.5,0.2811161810160762,1.0,2.454562203420371,True,True,True,,18.17371892929077,40,116,0.1487179487179487,0,85088,2.1722570051031553,40.0,1200.0,0.6,0.8286774914498589,2.741565830191603,102.72797545736852,30.0,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,2.026694842696495,0.75,0.31290447379128694,0.75,0.31290447379128694,True,False,True,,18.44859504699707,50,177,0.1444897959183673,1,54166,2.026694842696495,52.28443685466664,670.9715899253283,0.6337688798857315,0.8084591667705846,6.295448548240409,174.36020534304976,20.57970695000356,0.0103670871315479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.533993991323819,2.026694842696495,0.75,0.003668018632420944,0.75,0.31290447379128694,True,False,True,,17.675841093063354,50,177,0.1444897959183673,1,54166,2.026694842696495,52.28443685466664,670.9715899253283,0.6337688798857315,0.8084591667705846,6.295448548240409,174.36020534304976,20.57970695000356,0.0103670871315479,3.9081414162128567,7.474770029691085,49.41119999799639,7.364126997312649,0.01733899003253403,2.7358538072939766,0.017293448813777812,2.1390627408825074,1.190834920171663,18.91580736507787,25.39260314886019,14.563301929408867,10.944266365462774,53.17989411607099,0.0034006213039959937,32.80209019219616,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.008336819411827621,2.026694842696495,0.75,0.3046424345119314,0.75,0.31290447379128694,True,False,True,,251889.73409938812,50,177,0.1444897959183673,1,54166,2.026694842696495,52.28443685466664,670.9715899253283,0.6337688798857315,0.8084591667705846,6.295448548240409,174.36020534304976,20.57970695000356,0.0103670871315479,3.9081414162128567,7.474770029691085,49.41119999799628,7.364126997312632,0.01733899003253414,2.7358538072939944,0.017293448813777812,2.1390627408825074,1.190834920171663,18.91580736507787,25.39260314886016,14.563301929408851,10.94426636546277,53.17989411607097,0.0034006213039959945,32.80209019219617,0.5339939504948621,18490.0,True,0.008336819411827621,0.6881560436213761,1.3161775951281736,14.513296003035066,2.1630269032177756,0.0292203151447733,4.610563261710035,0.03475023401579047,4.298328900184661,1.7737568463838835,28.175225843938907,21.688327587527397,12.438805944764555,1.416562667632789,6.883298538056494,0.00044424635864534316,4.285160804796403
random,random,4.0748493207821195,2.026694842696495,0.5,0.0011428988927744133,0.75,0.31290447379128694,True,False,True,,13.726380109786987,50,177,0.1444897959183673,1,54166,2.026694842696495,52.28443685466664,670.9715899253283,0.6337688798857315,0.8084591667705846,6.295448548240409,174.36020534304976,20.57970695000356,0.0103670871315479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,0.65385057629438,0.75,0.4106931031844181,0.75,0.4106931031844181,True,False,True,,6.883224010467529,30,80,0.1839080459770115,5,5765,0.65385057629438,42.706708629074306,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.9702409544988055,0.65385057629438,0.75,0.7037078299933215,0.75,0.4106931031844181,True,False,True,,7.346401929855347,30,80,0.1839080459770115,5,5765,0.65385057629438,42.706708629074306,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,1.2118552653530088,2.837622716083421,122.76162355581482,11.71845257724629,0.03964226940400528,6.201159474527519,0.11757205266196713,12.376005542062224,2.8277086534850886,82.56836189574803,45.61540828980418,40.146477149882365,1.8052854632338686,8.479923966632972,0.0026283757292759205,28.068527167124135,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.028599698635321913,0.65385057629438,0.75,0.11709048745776429,0.75,0.4106931031844181,True,False,True,,26873.86566400528,30,80,0.1839080459770115,5,5765,0.65385057629438,42.706708629074306,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,1.2118552653530017,2.8376227160834047,122.76162355581437,11.718452577246248,0.03964226940400528,6.201159474527519,0.11757205266196735,12.376005542062247,2.8277086534850877,82.56836189574801,45.61540828980418,40.146477149882365,1.8052854632338686,8.479923966632972,0.0026283757292759197,28.068527167124124,0.9702409844109391,7816.0,True,0.028599698635321913,2.748087207180909,6.434790447193589,40.78949293162259,3.893641389907321,0.008750739415073983,1.3688603465124718,0.08975747430739633,9.448155189257704,3.696896559678006,107.94842412581282,51.16150857136142,45.027643329737906,5.091346038146831,23.9154572340951,0.0013516242706832493,14.4340484272652
random,random,4.693041885188309,0.65385057629438,0.25,-0.006944781064113226,0.75,0.4106931031844181,True,False,True,,5.711760997772217,30,80,0.1839080459770115,5,5765,0.65385057629438,42.706708629074306,1047.592442317591,0.6392718903721559,0.95,3.424687844689016,113.62244343249353,21.288934550933163,0.0093641382946731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,true,0.0,1.3323480235561185,1.0,1.8701033476219928,1.0,1.8701033476219928,True,True,True,,234.65195894241333,100,795,0.1606060606060606,2,20654,1.3323480235561185,40.261510940551666,851.7329679554041,0.7506244121051788,0.860471167539675,4.673036219311468,128.56338877123994,26.460705198787934,0.0034403423604195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_only,ml_predicted,0.06013692898948607,1.3323480235561185,0.75,0.6522766465539999,1.0,1.8701033476219928,True,True,True,,243.17619681358337,100,795,0.1606060606060606,2,20654,1.3323480235561185,40.261510940551666,851.7329679554041,0.7506244121051788,0.860471167539675,4.673036219311468,128.56338877123994,26.460705198787934,0.0034403423604195,5.819859672969692,14.455144720099003,32.85699725258007,3.85766413755826,0.015225335973016563,2.028356089337367,0.015581015692015532,1.8107539541104218,0.8405614455422521,17.987479789919412,58.757949902026525,45.703485621814266,0.5080702992760173,1.9200935706633022,0.0012705574885413305,36.93113412861824,,,,,,,,,,,,,,,,,,,,
ml_refine,ml_refined,0.001532109711685049,1.3323480235561185,0.75,1.1181677515019506,1.0,1.8701033476219928,True,True,True,,415281.15738105774,100,795,0.1606060606060606,2,20654,1.3323480235561185,40.261510940551666,851.7329679554041,0.7506244121051788,0.860471167539675,4.673036219311468,128.56338877123994,26.460705198787934,0.0034403423604195,5.8198596729696845,14.455144720098984,32.856997252579845,3.857664137558234,0.015225335973016563,2.028356089337367,0.01558101569201542,1.8107539541104092,0.840561445542253,17.987479789919433,58.757949902026496,45.703485621814245,0.5080702992760138,1.9200935706632887,0.0012705574885413305,36.93113412861824,0.06013692808983602,5962.0,True,0.001532109711685049,0.9351052410730674,2.322578609758285,10.489637734517146,1.2315641320890072,0.005110616157587566,0.6808486474045836,0.02474606990007744,2.875874384955561,0.8618658474867917,18.443380428053622,67.43822024969074,52.4552292018647,0.12440502712424717,0.47015008175018536,0.0004878631385262142,14.180656261374816
random,random,0.2840968200988918,1.3323480235561185,0.75,1.4633597564438063,1.0,1.8701033476219928,True,True,True,,285.2613739967346,100,795,0.1606060606060606,2,20654,1.3323480235561185,40.261510940551666,851.7329679554041,0.7506244121051788,0.860471167539675,4.673036219311468,128.56338877123994,26.460705198787934,0.0034403423604195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
