parameter,feature,importance
tau_v,step_rise_time,0.14125522522940542
tau_v,step_saturation_voltage,0.19761828363175588
tau_v,step_oscillation_index,0.14626797209395173
tau_v,pp_recovery_ratio_delay_200,0.0009214002934003487
tau_v,pp_recovery_ratio_delay_800,0.0007696841995935023
tau_v,pp_recovery_ratio_delay_2000,0.00021640562112820342
tau_v,pp_first_peak_delay_200,0.06947984300079166
tau_v,pp_first_peak_delay_800,0.011108063931866391
tau_v,pp_first_peak_delay_2000,0.03399643622742832
tau_v,pp_second_peak_delay_200,0.00035210447793578313
tau_v,pp_second_peak_delay_800,0.0004348799388073447
tau_v,pp_second_peak_delay_2000,0.00016887769501611102
tau_v,pp_avg_recovery_ratio,0.0004802129630668835
tau_v,pp_std_recovery_ratio,0.00048065790951966667
tau_v,pp_recovery_slope,0.0006331154459674107
tau_v,tri_hysteresis_area,0.39581683734036527
tau_w,step_rise_time,0.05852093356752977
tau_w,step_saturation_voltage,0.392296222384494
tau_w,step_oscillation_index,0.28855838396630035
tau_w,pp_recovery_ratio_delay_200,0.0008618616457194764
tau_w,pp_recovery_ratio_delay_800,0.002525039523151041
tau_w,pp_recovery_ratio_delay_2000,0.00037492611176669457
tau_w,pp_first_peak_delay_200,0.020119685129412236
tau_w,pp_first_peak_delay_800,0.004923050859527734
tau_w,pp_first_peak_delay_2000,0.007704004601908364
tau_w,pp_second_peak_delay_200,0.0008119858097215245
tau_w,pp_second_peak_delay_800,0.0033822423084506554
tau_w,pp_second_peak_delay_2000,0.0008414630354491776
tau_w,pp_avg_recovery_ratio,0.001278697159556675
tau_w,pp_std_recovery_ratio,0.001870160565345843
tau_w,pp_recovery_slope,0.0010750004651888347
tau_w,tri_hysteresis_area,0.21485634286647767
a,step_rise_time,0.04461057959662929
a,step_saturation_voltage,0.5173350696300579
a,step_oscillation_index,0.23294900494247395
a,pp_recovery_ratio_delay_200,0.0015837327604908838
a,pp_recovery_ratio_delay_800,0.002528164376445106
a,pp_recovery_ratio_delay_2000,0.0009886944766458838
a,pp_first_peak_delay_200,0.02031767512881619
a,pp_first_peak_delay_800,0.004562370909586379
a,pp_first_peak_delay_2000,0.01452530559322547
a,pp_second_peak_delay_200,0.0013876431190099406
a,pp_second_peak_delay_800,0.002247507213330222
a,pp_second_peak_delay_2000,0.0005428072559388481
a,pp_avg_recovery_ratio,0.0028218083366508195
a,pp_std_recovery_ratio,0.0030156097160881413
a,pp_recovery_slope,0.0021216809924604883
a,tri_hysteresis_area,0.1484623459521505
b,step_rise_time,0.08772648225741256
b,step_saturation_voltage,0.3931470424691795
b,step_oscillation_index,0.24870004123507802
b,pp_recovery_ratio_delay_200,0.0023396235726359784
b,pp_recovery_ratio_delay_800,0.004716070986769054
b,pp_recovery_ratio_delay_2000,0.001433951349953586
b,pp_first_peak_delay_200,0.012696200632186851
b,pp_first_peak_delay_800,0.008354591697745287
b,pp_first_peak_delay_2000,0.021856530590674356
b,pp_second_peak_delay_200,0.005354577652305672
b,pp_second_peak_delay_800,0.0049190264583755935
b,pp_second_peak_delay_2000,0.001625040502699299
b,pp_avg_recovery_ratio,0.0029291202216979208
b,pp_std_recovery_ratio,0.005466731361050532
b,pp_recovery_slope,0.005572174195676293
b,tri_hysteresis_area,0.1931627948165595
v_scale,step_rise_time,0.09986333289024492
v_scale,step_saturation_voltage,0.29700521305610567
v_scale,step_oscillation_index,0.2546400501446212
v_scale,pp_recovery_ratio_delay_200,0.003734896255753401
v_scale,pp_recovery_ratio_delay_800,0.006094587167364375
v_scale,pp_recovery_ratio_delay_2000,0.002125171064998116
v_scale,pp_first_peak_delay_200,0.023276433650621053
v_scale,pp_first_peak_delay_800,0.018959236429821974
v_scale,pp_first_peak_delay_2000,0.02430990936425871
v_scale,pp_second_peak_delay_200,0.004088311475632937
v_scale,pp_second_peak_delay_800,0.006566003566831334
v_scale,pp_second_peak_delay_2000,0.004536830259819059
v_scale,pp_avg_recovery_ratio,0.008446748341228365
v_scale,pp_std_recovery_ratio,0.007139435931330618
v_scale,pp_recovery_slope,0.0050581042013567
v_scale,tri_hysteresis_area,0.2341557362000116
R_off,step_rise_time,0.09401211248434924
R_off,step_saturation_voltage,0.31278659035869055
R_off,step_oscillation_index,0.2745965647314423
R_off,pp_recovery_ratio_delay_200,0.0014273228214002492
R_off,pp_recovery_ratio_delay_800,0.006989240804281272
R_off,pp_recovery_ratio_delay_2000,0.0020471498220972543
R_off,pp_first_peak_delay_200,0.013906434275938727
R_off,pp_first_peak_delay_800,0.008508089556599296
R_off,pp_first_peak_delay_2000,0.011478309260968454
R_off,pp_second_peak_delay_200,0.008050889837937975
R_off,pp_second_peak_delay_800,0.0060923883394328375
R_off,pp_second_peak_delay_2000,0.003661815543231361
R_off,pp_avg_recovery_ratio,0.0049243746775129126
R_off,pp_std_recovery_ratio,0.0060292639216012935
R_off,pp_recovery_slope,0.003522229464488978
R_off,tri_hysteresis_area,0.24196722410002722
R_on,step_rise_time,0.08753555657860114
R_on,step_saturation_voltage,0.35622793277413606
R_on,step_oscillation_index,0.2451652138480172
R_on,pp_recovery_ratio_delay_200,0.003621075344164702
R_on,pp_recovery_ratio_delay_800,0.005205657832477911
R_on,pp_recovery_ratio_delay_2000,0.0013871073384312104
R_on,pp_first_peak_delay_200,0.025990486624064616
R_on,pp_first_peak_delay_800,0.017586658184963026
R_on,pp_first_peak_delay_2000,0.01259880428652685
R_on,pp_second_peak_delay_200,0.0024114111503500658
R_on,pp_second_peak_delay_800,0.005226409995391219
R_on,pp_second_peak_delay_2000,0.0025006596617424496
R_on,pp_avg_recovery_ratio,0.004188192183283504
R_on,pp_std_recovery_ratio,0.0035835874243858256
R_on,pp_recovery_slope,0.004031071748281342
R_on,tri_hysteresis_area,0.2227401750251828
alpha,step_rise_time,0.09774834481869724
alpha,step_saturation_voltage,0.26760372752602085
alpha,step_oscillation_index,0.35228717909656826
alpha,pp_recovery_ratio_delay_200,0.001972084347887406
alpha,pp_recovery_ratio_delay_800,0.006167220541920229
alpha,pp_recovery_ratio_delay_2000,0.0023732979158165007
alpha,pp_first_peak_delay_200,0.021540897139638342
alpha,pp_first_peak_delay_800,0.017420480942050853
alpha,pp_first_peak_delay_2000,0.006670991188723539
alpha,pp_second_peak_delay_200,0.004834007272350321
alpha,pp_second_peak_delay_800,0.014279439368589365
alpha,pp_second_peak_delay_2000,0.0020213656165661066
alpha,pp_avg_recovery_ratio,0.004209641374865196
alpha,pp_std_recovery_ratio,0.0035913735182117575
alpha,pp_recovery_slope,0.0023227912915919596
alpha,tri_hysteresis_area,0.1949571580405021
num_nodes,step_rise_time,0.10415996092386466
num_nodes,step_saturation_voltage,0.2287691475894502
num_nodes,step_oscillation_index,0.28310749560816983
num_nodes,pp_recovery_ratio_delay_200,0.0036946892909794013
num_nodes,pp_recovery_ratio_delay_800,0.005761947785463435
num_nodes,pp_recovery_ratio_delay_2000,0.0014592278132200328
num_nodes,pp_first_peak_delay_200,0.03410213388843438
num_nodes,pp_first_peak_delay_800,0.009043872155112183
num_nodes,pp_first_peak_delay_2000,0.014118213883282504
num_nodes,pp_second_peak_delay_200,0.002516775021834935
num_nodes,pp_second_peak_delay_800,0.0034777937591002114
num_nodes,pp_second_peak_delay_2000,0.0020408684293847616
num_nodes,pp_avg_recovery_ratio,0.009937222793080699
num_nodes,pp_std_recovery_ratio,0.005634991899958244
num_nodes,pp_recovery_slope,0.0031526669150882362
num_nodes,tri_hysteresis_area,0.28902299224357636
num_edges,step_rise_time,0.10245356869548539
num_edges,step_saturation_voltage,0.22228938532639977
num_edges,step_oscillation_index,0.2872942023806765
num_edges,pp_recovery_ratio_delay_200,0.004451567548346386
num_edges,pp_recovery_ratio_delay_800,0.007482673478244665
num_edges,pp_recovery_ratio_delay_2000,0.0016353934170620938
num_edges,pp_first_peak_delay_200,0.03506993913939775
num_edges,pp_first_peak_delay_800,0.008737007443062855
num_edges,pp_first_peak_delay_2000,0.015100988165094233
num_edges,pp_second_peak_delay_200,0.002886404471379999
num_edges,pp_second_peak_delay_800,0.004762901956690459
num_edges,pp_second_peak_delay_2000,0.0020950259690776787
num_edges,pp_avg_recovery_ratio,0.010271625326104738
num_edges,pp_std_recovery_ratio,0.006456538390010907
num_edges,pp_recovery_slope,0.004776322162573609
num_edges,tri_hysteresis_area,0.28423645613039294
network_density,step_rise_time,0.10089968444536047
network_density,step_saturation_voltage,0.2681007202341571
network_density,step_oscillation_index,0.24594146689943644
network_density,pp_recovery_ratio_delay_200,0.0022078221402004605
network_density,pp_recovery_ratio_delay_800,0.00697464902488045
network_density,pp_recovery_ratio_delay_2000,0.0016036144095774945
network_density,pp_first_peak_delay_200,0.02190646529105938
network_density,pp_first_peak_delay_800,0.007122472836964355
network_density,pp_first_peak_delay_2000,0.02107187805312498
network_density,pp_second_peak_delay_200,0.002392191408055695
network_density,pp_second_peak_delay_800,0.0034303227282236714
network_density,pp_second_peak_delay_2000,0.001627798992574977
network_density,pp_avg_recovery_ratio,0.005861962775327042
network_density,pp_std_recovery_ratio,0.006221420347871794
network_density,pp_recovery_slope,0.00419459048571569
network_density,tri_hysteresis_area,0.30044293992746995
